name,writer,rate,plot,lang,char,setting,litery award,link
Beloved,Toni Morrison,3.87,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.",English,"Stamp Paid,Sixo,Halle,Schoolteacher",Ohio,"Pulitzer Prize for Fiction (1988),American Book Award (1988),Anisfield-Wolf Book Award (1988),National Book Critics Circle Award Nominee for Fiction (1987),Frederic G. Melcher Book Award (1988),National Book Award Finalist for Fiction (1987)",https://www.goodreads.com/book/show/6149.Beloved
The Joy Luck Club,Amy Tan,3.93,"Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ",English,"Rose Hsu Jordan,Ying-Ying St. Clair,Lena St. Clair","San Francisco, California","California Book Award for Fiction (Gold) (1989),Los Angeles Times Book Prize Nominee for Fiction (1989),Northern California Book Awards for Fiction (1989),National Book Critics Circle Award Nominee for Fiction (1989),National Book Award Finalist for Fiction (1989)",https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club
Ulysses,James Joyce,3.73,,,"Bantam Lyons,Simon Dedalus,Myles Crawford,William Humble, Earl of Dudley,Hugh ""Blazes"" Boylan,The Citizen,Gerty MacDowell,Mina Purefoy,John Corley,D.B. Murphy,Matthew Lenehan,Fr. Bernard Vaughan,James Fitzharris,Fanny Moody,Charles Manners,Haines,Thomas ""Tommy"" Caffrey,John ""Jacky"" Caffrey,Martha Clifford,Mr. Power,Patrick Dignam,Patrick Aloysius Dignam, jnr.,Martin Cunningham,Fr. John Conmee,Bridget ""Bridie"" Kelly,J.J. O'Molloy,Mary Dedalus,George Russell,Stephen Daedalus,Stephen MacKenna,Mr Leopold Bloom,Mr Joseph M'Carthy Hynes,Mrs Marion Bloom,Mr Simon Dedalus,Alf Bergan,Buck Mulligan,Blazes Boylan,Mr Garrett Deasy,Mr Power,Millie Bloom,Boylan,Mr Paddy Dignam,Terence O'Ryan,Davy Byrne,Bob Doran,Mr Thomas Kernan,Ned Lambert,T. Lenehan,Mr O’madden Burke,Garrett Deasy,Mrs Josephine Breen,Benjamin Dollard,J. J. O'Molloy,John Eglinton,Mr V. Lynch,Edy Boardman,Tommy Caffrey,Cissy Caffrey,Jacky Caffrey,Mrs Bella Cohen,Richard Crookback,Richie Goulding,Walter Sexton,John Henry Menton,Sara (Sally) Goulding,Episode Twelve's Nameless Narrator,Mina Kennedy,Lydia Douce,Zoe Higgins,Mrs. Dignam,Paddy Dignam,Kitty Ricketts,Josie (Powell) Breen,Denis Breen,Dilly, Katey, Boody, and Maggy Dedalus,Mr Cornelius Kelleher,Thomas W. Lyster,Joseph P. Nannetti,Florry Talbot,Tom Rochford,Barney Kiernan,Mr Fox,Mr Hornblower,Mother Grogan,Master Boardman,Mrs Stoer,Signor Maffei,Gerald Ward A.D.C.,Jacob Halliday,Joseph Glynn,Ann Hathaway,Mr Bello,Brian Cooper Tweedy,Kevin Egan,Father Conroy,Almidano Artifoni,Luke Doyle,Alexander J. Keyes,Gerald Fitzgibbon,Henry Joy M'Cracken,Larry O'Rourke,Miss Whelan,Red Murray,Lizzie Twigg,John Howard Parnell,John F Taylor,MacHugh,Longworth,Michael E. Geraghty,Antonio Pabaiotti,Magennis,Mr Allfours,Mrs Fleming,Alderman John Hooper,Gumley,Ruttledge,Owen Goldberg,Gordon Bennett,Nannan,Floey Dillon,Frank Costello,Dan Dawson,Mr Russell,Mrs Riordan,Master Abraham Chatterton,Mrs Bandmann Palmer,Howard de Walden,Mrs Mervyn Talboys,Joe Brady,Mr Denis J Maginni,Marie Kendall,Canon O'Hanlon,Bald Pat,Punch Costello,Mr David Sheehy,Monsieur Moore,Samuel Childs,Jack Joe Harry Mulvey,Cyril Sargent,Alec Bannon,Pisser Burke,Theodore Purefoy,Virag Lipoti,Val Dillon,Mrs Yelverton Barry,Moses Mendelssohn,Lipoti Virag,Mrs Reggy Wylie T. C. D.,Michael Gunn,Pulbrook Robertson,Mrs Florence MacCabe,Bob Cowley,J. Citron,Terence Mulcahy,Mrs Mina Purefoy,Mr Joseph Cuffe,George Lidwell,Dick Tivy,Chris Callinan,Mr Philip Beaufoy,Synge,Father Dolan,Sam Bohee,Hoppy Holohan,James Kavanagh,Nelly Bouverist,Reuben J Dodd,Moses Herzog,Dilly Dedalus,James O'Connor,Bernard Corrigan,Paul de Kock,Lorcan Sherlock,James Stephens,Rudolph Bloom,John Wyse Nolan,Mrs Norman W. Tupper,Marcus Tertius Moses,Seymour Bushe,Georgina Johnson,Victoria Frances,Mrs Thornton,Philip Gilligan,Mrs Ellen M'Guinness,Master Francis Beaumont,Gerald Fitzedward,Myler Keogh,Arthur Edmund,Joe Chamberlain,Mrs Quigley,Leopold M'Intosh,Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell,George Robert Mesias,Susy Nagle,Boody Dedalus,Bertha Supple,E. Dowden,Dr Francis Brady,Dlugacz,Mr Crimmins,Skin-the-Goat Fitzharris,Mrs Bellingham,Mrs Joe Gallaher,Mat Dillon,Penelope Rich,Charley Kavanagh,Frank O'Hara,Brunny Lynam,Davy Stephens,Mr Eugene Stratton,Mary Driscoll,Father Coffey,Mr Dainty Dixon,Percy Apjohn,Andrew Horne,Papli,Mrs Miriam Dandrade,Milly Bloom,Mr Delegate Madden,Roger Greene,Miss Callan,Bartell Darcy,Mrs Rubio,Bernard Vaughan,Bushe,Rathgar,P. Mastiansky,Jimmy Henry,Timothy Harrington,Patrice Egan,Patsy Caliban,Edward Fitzgerald,Mr Best,Mr Justice Fitzgibbon,Bridie Kelly,Mr Hugh C Haines Love M. A.,Mountjoy,Owen Garry,John Fanning,Talbot de Malahide,Katherine Brophy,John Conmee S.J.,Stephen Daedalus,Stephen MacKenna,Mr Leopold Bloom,Mr Joseph M'Carthy Hynes,Mrs Marion Bloom,Mr Simon Dedalus,Alf Bergan,Buck Mulligan,Blazes Boylan,Mr Garrett Deasy,Mr Power,Millie Bloom,Boylan,Mr Paddy Dignam,Mr. Joyce,Terence O'Ryan,Davy Byrne,Bob Doran,Mr Thomas Kernan,Ned Lambert,T. Lenehan,Mr O’madden Burke,Garrett Deasy,Mrs Josephine Breen,Benjamin Dollard,J. J. O'Molloy,John Eglinton,Mr V. Lynch,Edy Boardman,Tommy Caffrey,Cissy Caffrey,Jacky Caffrey,Mrs Bella Cohen,Joe Hynes,Richard Crookback,Richie Goulding,Walter Sexton,John Henry Menton,Sara (Sally) Goulding,Episode Twelve's Nameless Narrator,Mina Kennedy,Lydia Douce,Zoe Higgins,Mrs. Dignam,Paddy Dignam,Kitty Ricketts,Josie (Powell) Breen,Denis Breen,Dilly, Katey, Boody, and Maggy Dedalus,Mr Cornelius Kelleher,Thomas W. Lyster,Joseph P. Nannetti,Florry Talbot,Tom Rochford,Barney Kiernan,Mr Fox,Mr Hornblower,Mother Grogan,Master Boardman,Jack Mooney,Mrs Stoer,Moses Maimonides,Signor Maffei,Gerald Ward A.D.C.,Jacob Halliday,Joseph Glynn,Ann Hathaway,Mr Bello,Brian Cooper Tweedy,Kevin Egan,Father Conroy,Almidano Artifoni,Luke Doyle,Alexander J. Keyes,Gerald Fitzgibbon,Frederick Falkiner,Henry Joy M'Cracken,Larry O'Rourke,Miss Whelan,Red Murray,Lizzie Twigg,John Howard Parnell,John F Taylor,MacHugh,Longworth,Michael E. Geraghty,Antonio Pabaiotti,Magennis,Mr Allfours,Mrs Fleming,Alderman John Hooper,Gumley,Ruttledge,Owen Goldberg,Gordon Bennett,Nannan,Floey Dillon,Frank Costello,Dan Dawson,Mr Russell,Mrs Riordan,Master Abraham Chatterton,Mrs Bandmann Palmer,Howard de Walden,Vincent Lenehan,Mrs Mervyn Talboys,Joe Brady,Mr Denis J Maginni,Marie Kendall,Canon O'Hanlon,Bald Pat,Punch Costello,Mr David Sheehy,Monsieur Moore,Samuel Childs,Jack Joe Harry Mulvey,Cyril Sargent,Alec Bannon,Pisser Burke,Theodore Purefoy,Virag Lipoti,Val Dillon,Mrs Yelverton Barry,Moses Mendelssohn,Lipoti Virag,Mrs Reggy Wylie T. C. D.,Michael Gunn,Pulbrook Robertson,Mrs Florence MacCabe,Bob Cowley,J. Citron,Terence Mulcahy,Mrs Mina Purefoy,Mr Joseph Cuffe,George Lidwell,Dick Tivy,Chris Callinan,Mr Philip Beaufoy,Synge,Father Dolan,Sam Bohee,Hoppy Holohan,James Kavanagh,Nelly Bouverist,Reuben J Dodd,Moses Herzog,Dilly Dedalus,James O'Connor,Bernard Corrigan,Paul de Kock,Nosey Flynn,Lorcan Sherlock,James Stephens,Rudolph Bloom,John Wyse Nolan,Mrs Norman W. Tupper,Marcus Tertius Moses,Seymour Bushe,Georgina Johnson,Victoria Frances,Mrs Thornton,Philip Gilligan,Mrs Ellen M'Guinness,Master Francis Beaumont,Gerald Fitzedward,Robert Emmet,Myler Keogh,Arthur Edmund,Joe Chamberlain,Mrs Quigley,Leopold M'Intosh,Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell,George Robert Mesias,Susy Nagle,Boody Dedalus,Bertha Supple,E. Dowden,Dr Francis Brady,Dlugacz,Mr Crimmins,Skin-the-Goat Fitzharris,Mrs Bellingham,Mrs Joe Gallaher,Mat Dillon,Penelope Rich,Charley Kavanagh,Frank O'Hara,Brunny Lynam,Davy Stephens,Mr Eugene Stratton,Mary Driscoll,Father Coffey,Mr Dainty Dixon,Percy Apjohn,Andrew Horne,Papli,Mrs Miriam Dandrade,Milly Bloom,Mr Delegate Madden,Roger Greene,Paddy Leonard,Miss Callan,Bartell Darcy,Mrs Rubio,Bernard Vaughan,Bushe,Rathgar,P. Mastiansky,Jimmy Henry,Timothy Harrington,Patrice Egan,Patsy Caliban,Edward Fitzgerald,Mr Best,Mr Justice Fitzgibbon,Bridie Kelly,Mr Hugh C Haines Love M. A.,Mountjoy,Owen Garry,John Fanning,Talbot de Malahide,Katherine Brophy,John Conmee S.J.,Robert Emmet,...less,Glasnevin Cemetary, Dublin,Ireland",,Национална награда „Христо Г. Данов“ for Преводна художествена литература (2004),https://www.goodreads.com/book/show/338798.Ulysses
The Sound and the Fury,William Faulkner,3.86,"The tragedy of the Compson family features some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what ",,"Candace ""Caddy"" Compson,Benjamin ""Benjy"" Compson,Miss Quentin Compson",,,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
The Fountainhead,Ayn Rand,3.87,"The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim.",English,,"New York City, New York",,https://www.goodreads.com/book/show/2122.The_Fountainhead
A Clockwork Orange,Anthony Burgess,3.99,"A vicious fifteen-year-old droog is the central character of this 1963 classic. In Anthony Burgess's nightmare vision of the future, where criminals take over after dark, the story is told by the central character, Alex, who talks in a brutal invented slang that brilliantly renders his and his friends' social pathology. ",English,,,Prometheus Hall of Fame Award (2008),https://www.goodreads.com/book/show/227463.A_Clockwork_Orange
A Farewell to Arms,Ernest Hemingway,3.81," is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield - the weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical w",English,,Italy,,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms
Little House on the Prairie,Laura Ingalls Wilder,4.19,"Meet Laura Ingalls, the little girl who would grow up to write the Little House books.",,,,,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
Invisible Man,Ralph Ellison,3.88,"First published in 1952 and immediately hailed as a masterpiece, ",,"Brother Jack,Tod Clifton,Ras the Exhorter,Sybil (Invisible Man),Unnamed Narrator",,National Book Award for Fiction (1953),https://www.goodreads.com/book/show/16981.Invisible_Man
For Whom the Bell Tolls,Ernest Hemingway,3.97,"In 1937 Ernest Hemingway traveled to Spain to cover the civil war there for the North American Newspaper Alliance. Three years later he completed the greatest novel to emerge from ""the good fight,"" ",,Pablo Saler,,,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
